#,Table Name,Column Name,Description,Format/Unit of measure,DATA_TYPE,Alter SQL
38,pension.PPDDataLatest,BlendedDiscountRate,Blended Discount Rate,Percentage point,nvarchar,"alter table pension.PPDDataLatest alter column BlendedDiscountRate decimal(7, 5) null"
54,pension.PPDDataLatest,GainLoss,Current Gain/Loss amount: Gain/Loss Base-2 minus Gain/Loss Base-1,$000s,nvarchar,"alter table pension.PPDDataLatest alter column GainLoss decimal(18, 2) null"
72,pension.PPDDataLatest,WageInflation,Wage Inflation,integer,nvarchar,"alter table pension.PPDDataLatest alter column WageInflation decimal(18, 2) null"
81,pension.PPDDataLatest,TotalPensionLiability,Total Pension Liability,$000s,nvarchar,"alter table pension.PPDDataLatest alter column TotalPensionLiability decimal(18, 2) null"
82,pension.PPDDataLatest,NetPosition,Net Position,$000s,nvarchar,"alter table pension.PPDDataLatest alter column NetPosition decimal(18, 2) null"
83,pension.PPDDataLatest,NetPensionLiability,Net Pension Liability,$000s,nvarchar,"alter table pension.PPDDataLatest alter column NetPensionLiability decimal(18, 2) null"
114,pension.PPDDataLatest,AvgReturn_10yr,"10-year return, average",$000s,nvarchar,"alter table pension.PPDDataLatest alter column AvgReturn_10yr decimal(18, 2) null"
118,pension.PPDDataLatest,contrib_ER_state,Contributions - state.,$000s,nvarchar,"alter table pension.PPDDataLatest alter column contrib_ER_state decimal(18, 2) null"
119,pension.PPDDataLatest,contrib_EE_PurchaseService,Member service purchase.,$000s,nvarchar,"alter table pension.PPDDataLatest alter column contrib_EE_PurchaseService decimal(18, 2) null"
120,pension.PPDDataLatest,contrib_EE_other,Contributions - other member.,$000s,nvarchar,"alter table pension.PPDDataLatest alter column contrib_EE_other decimal(18, 2) null"
121,pension.PPDDataLatest,contrib_ER_other,Contributions - other employer.,$000s,nvarchar,"alter table pension.PPDDataLatest alter column contrib_ER_other decimal(18, 2) null"
125,pension.PPDDataLatest,FairValueChange_RealEstate,Net increase[appreciation] or decrease[depreciation] of real estate investments.,$000s,nvarchar,"alter table pension.PPDDataLatest alter column FairValueChange_RealEstate decimal(18, 2) null"
126,pension.PPDDataLatest,income_interest,Interest Income.,$000s,nvarchar,"alter table pension.PPDDataLatest alter column income_interest decimal(18, 2) null"
127,pension.PPDDataLatest,income_dividends,Dividends Income.,$000s,nvarchar,"alter table pension.PPDDataLatest alter column income_dividends decimal(18, 2) null"
129,pension.PPDDataLatest,income_RealEstate,Real estate income.,$000s,nvarchar,"alter table pension.PPDDataLatest alter column income_RealEstate decimal(18, 2) null"
130,pension.PPDDataLatest,income_PrivateEquity,Private equity income.,$000s,nvarchar,"alter table pension.PPDDataLatest alter column income_PrivateEquity decimal(18, 2) null"
131,pension.PPDDataLatest,income_alternatives,Alternatives income.,$000s,nvarchar,"alter table pension.PPDDataLatest alter column income_alternatives decimal(18, 2) null"
132,pension.PPDDataLatest,income_international,International income.,$000s,nvarchar,"alter table pension.PPDDataLatest alter column income_international decimal(18, 2) null"
133,pension.PPDDataLatest,income_OtherInvestments,Other investment income.,$000s,nvarchar,"alter table pension.PPDDataLatest alter column income_OtherInvestments decimal(18, 2) null"
134,pension.PPDDataLatest,expense_RealEstate,Real estate expense.,$000s,nvarchar,"alter table pension.PPDDataLatest alter column expense_RealEstate decimal(18, 2) null"
135,pension.PPDDataLatest,expense_PrivateEquity,Private equity expense.,$000s,nvarchar,"alter table pension.PPDDataLatest alter column expense_PrivateEquity decimal(18, 2) null"
136,pension.PPDDataLatest,expense_alternatives,Alternatives expense.,$000s,nvarchar,"alter table pension.PPDDataLatest alter column expense_alternatives decimal(18, 2) null"
137,pension.PPDDataLatest,expense_OtherInvestments,Other Investment Expense.,$000s,nvarchar,"alter table pension.PPDDataLatest alter column expense_OtherInvestments decimal(18, 2) null"
